
13-02-2018 23:56:19:195 - I: 	Executing process python.exe "" A "C:\Users\alvin limassa\Documents\GitHub\BattleshipsBot\Game Engine\Replays\2018-02-13 23-56-18-898\Phase 1 - Round 0\A"
13-02-2018 23:56:19:273 - I: 	Bot calibration complete and can run an additional 74ms due to environment startup
13-02-2018 23:56:19:288 - D: 	Executing bot with following commands python.exe "bot.py" A "C:\Users\alvin limassa\Documents\GitHub\BattleshipsBot\Game Engine\Replays\2018-02-13 23-56-18-898\Phase 1 - Round 0\A"
13-02-2018 23:56:19:288 - I: 	Executing process python.exe "bot.py" A "C:\Users\alvin limassa\Documents\GitHub\BattleshipsBot\Game Engine\Replays\2018-02-13 23-56-18-898\Phase 1 - Round 0\A"
13-02-2018 23:56:19:288 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 23:56:19:366 - I: 	Output from bot: Cruiser 9 0 north
13-02-2018 23:56:19:366 - I: 	Output from bot: Battleship 4 1 east
13-02-2018 23:56:19:366 - I: 	Output from bot: Destroyer 2 0 west
13-02-2018 23:56:19:366 - I: 	Output from bot: Submarine 0 5 south
13-02-2018 23:56:19:366 - I: 	Output from bot: Carrier 8 5 west
13-02-2018 23:56:19:382 - I: 	Output from bot: 
13-02-2018 23:56:19:382 - E: 	Output from bot: 
13-02-2018 23:56:19:382 - I: 	Your bots total execution time was 00:00:00.0957846
