
13-02-2018 23:56:19:398 - I: 	Executing process python.exe "" B "C:\Users\alvin limassa\Documents\GitHub\BattleshipsBot\Game Engine\Replays\2018-02-13 23-56-18-898\Phase 1 - Round 0\B"
13-02-2018 23:56:19:476 - I: 	Bot calibration complete and can run an additional 71ms due to environment startup
13-02-2018 23:56:19:476 - D: 	Executing bot with following commands python.exe "bot.py" B "C:\Users\alvin limassa\Documents\GitHub\BattleshipsBot\Game Engine\Replays\2018-02-13 23-56-18-898\Phase 1 - Round 0\B"
13-02-2018 23:56:19:476 - I: 	Executing process python.exe "bot.py" B "C:\Users\alvin limassa\Documents\GitHub\BattleshipsBot\Game Engine\Replays\2018-02-13 23-56-18-898\Phase 1 - Round 0\B"
13-02-2018 23:56:19:492 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 23:56:19:570 - I: 	Output from bot: Cruiser 5 8 south
13-02-2018 23:56:19:570 - I: 	Output from bot: Submarine 3 0 west
13-02-2018 23:56:19:570 - I: 	Output from bot: Battleship 4 6 west
13-02-2018 23:56:19:570 - I: 	Output from bot: Carrier 1 2 east
13-02-2018 23:56:19:570 - I: 	Output from bot: Destroyer 4 8 west
13-02-2018 23:56:19:585 - I: 	Output from bot: 
13-02-2018 23:56:19:585 - E: 	Output from bot: 
13-02-2018 23:56:19:585 - I: 	Your bots total execution time was 00:00:00.1009279
